,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.021095466613769532,0.0010580642348897928,0.0029686927795410157,0.000151824951171875,2,{'min_samples_leaf': 2},-36.440314689276015,-32.28257040342128,-37.20141416733217,-32.60031577491756,-35.89584033861752,-34.88409107471291,2.0395584939017968,21
1,0.016248273849487304,0.0035741100678888076,0.00326390266418457,0.00045856461391283274,22,{'min_samples_leaf': 22},-28.885520383733734,-26.51127860952316,-30.17301095134899,-27.440615942079138,-27.695912783372815,-28.141267734011564,1.2671235945528074,4
2,0.014702272415161134,0.0008948908582291466,0.004033708572387695,0.0006199789824555522,42,{'min_samples_leaf': 42},-28.36089540940297,-26.24541717640943,-29.853289734071485,-27.418368494109085,-26.854542525899078,-27.74650266797841,1.262739305374647,1
3,0.01247563362121582,0.0005658514789677504,0.0031540393829345703,0.00018291625041154004,62,{'min_samples_leaf': 62},-27.83640851889601,-26.248230205299063,-30.162849458487912,-27.759814570129407,-26.82227887920793,-27.765916326404067,1.3374690736057284,2
4,0.010580348968505859,0.0005107829114693978,0.0033590316772460936,0.0014036201980370201,82,{'min_samples_leaf': 82},-28.060960840384908,-26.525137943066845,-30.633569587053735,-27.994172256574196,-26.75179866624287,-27.993127858664515,1.4609878494669113,3
5,0.009351062774658202,0.0017052102297456181,0.003337669372558594,0.0007553048266123655,102,{'min_samples_leaf': 102},-28.174007367209157,-26.870274570456605,-31.066649924337018,-28.288629681985054,-26.883505318002932,-28.256613372398153,1.5304584425732746,5
6,0.007717323303222656,0.00067970857043452,0.0027755260467529296,0.00085566320975299,122,{'min_samples_leaf': 122},-28.172293858123997,-27.52164650364879,-31.163012169784547,-28.3992833844164,-26.82479732936062,-28.416206649066872,1.4790227781704652,6
7,0.007576370239257812,0.0006335163912511583,0.002300453186035156,0.00014784246697268627,142,{'min_samples_leaf': 142},-28.704544223099557,-27.57488153999366,-31.287601537703694,-28.37233882641359,-27.4720146082644,-28.682276147094978,1.383859328770103,7
8,0.007145929336547852,0.00043902675529998675,0.0021963596343994142,0.00038287180489782034,162,{'min_samples_leaf': 162},-28.87865259151305,-27.846332115491563,-31.08699887239429,-28.426559107372302,-27.75175565491682,-28.7980596683376,1.2152603004523683,8
9,0.006092643737792969,0.000737315407253291,0.002323293685913086,0.0006624248265961282,182,{'min_samples_leaf': 182},-29.018582893201962,-27.887021233233934,-31.544462485345928,-28.758666697441445,-28.130639193336464,-29.067874500511948,1.3041741934659195,9
10,0.006622600555419922,0.00037208433006334586,0.002461099624633789,0.00010544621707173851,202,{'min_samples_leaf': 202},-29.018582893201962,-27.765215818471763,-31.709527291833194,-28.70178360875909,-28.42002197914791,-29.123026318282786,1.357660162911633,11
11,0.0065806865692138675,0.000324466807655808,0.0022747039794921873,0.0001420188372601034,222,{'min_samples_leaf': 222},-28.679875357398416,-28.41495702205524,-31.33214062445401,-28.73104388652699,-28.410609267685967,-29.113725231624123,1.1170216336172165,10
12,0.0062786579132080075,0.0005601955222746968,0.0021552562713623045,0.00013840451308052052,242,{'min_samples_leaf': 242},-28.575160534295236,-28.537802952386443,-31.635546567730202,-28.404375851385254,-28.72609383978689,-29.175795949116804,1.2341387300870017,12
13,0.006774616241455078,0.00040663582508076947,0.0027164936065673826,0.00033631028983047124,262,{'min_samples_leaf': 262},-29.077259687488755,-28.668588126767617,-31.74162377668797,-28.751540025011032,-28.81528251834075,-29.410858826859226,1.173382448402261,13
14,0.006419181823730469,0.0006336998811735298,0.0029393672943115235,0.00047816717151161014,282,{'min_samples_leaf': 282},-28.939550828362105,-28.9354051480473,-32.064839415815364,-28.889929871249706,-28.669206837691416,-29.499786420233175,1.2863649919219433,14
15,0.006716871261596679,0.00019415217607924608,0.002729940414428711,0.00033619462594081784,302,{'min_samples_leaf': 302},-28.939550828362105,-28.988709554944347,-32.064839415815364,-28.889929871249706,-28.818902819487676,-29.540386497971838,1.2634750497986098,15
16,0.006613922119140625,0.0001689000293391232,0.0025436878204345703,7.621597239503712e-05,322,{'min_samples_leaf': 322},-28.996872863882025,-28.890921159996264,-31.987904516371707,-29.350272796582065,-28.90885460498891,-29.626965188364192,1.1920615042207934,16
17,0.006194543838500976,0.00023643519348297976,0.0023535728454589845,0.0002672787161066858,342,{'min_samples_leaf': 342},-28.91902388684704,-29.01292949666372,-31.901285953371175,-29.3286835475436,-29.546775036603368,-29.74173958420578,1.1027504021494499,17
18,0.005843114852905273,0.00037025922967405593,0.0024610042572021486,0.00027632774619560274,362,{'min_samples_leaf': 362},-28.91902388684704,-29.068107643677383,-32.60223880168682,-29.3286835475436,-29.377831323510414,-29.859177040653055,1.3818236945378788,18
19,0.005513048171997071,0.0004394725788631857,0.002176856994628906,0.0002608434631767744,382,{'min_samples_leaf': 382},-28.918326043034643,-28.888872790124747,-33.42132732976506,-29.3286835475436,-29.73181908799572,-30.05780575969276,1.709735779278974,19
20,0.004639530181884765,0.00037741842106802466,0.0016042232513427735,0.00014852620983381467,402,{'min_samples_leaf': 402},-28.918326043034643,-29.488716832143574,-33.42132732976506,-29.66670661514258,-29.73181908799572,-30.245379181616318,1.6136208038078481,20
